Plot,SOC,N,P,C_N,C_P,N_P,vector_length,vector_angle
RM01,13.93157895,1.78309161,1.23,7.813159385,11.32648695,1.449667976,0.823897725,37.11754551
RM02,15.96315789,1.846429227,1.15,8.645420935,13.88100686,1.605590632,0.82456204,37.06894331
RM03,19.04736842,2.166789058,1.18,8.790596551,16.14183764,1.836261914,0.825552184,37.13
RM04,18.14210526,2.003840956,0.749,9.053665267,24.22176938,2.675355081,0.823608844,37.17741318
NR01,21.02105263,2.437580319,0.531,8.623737428,39.58766974,4.590546741,0.818095468,37.50200334
NR02,21.76842105,2.40086286,0.478,9.066915656,45.54062982,5.022725649,0.819827798,37.33
NR03,18.32105263,2.075454379,0.517,8.82748993,35.43723913,4.014418527,0.820836283,37.45821638
NR04,18.67894737,2.087846521,0.456,8.946513635,40.96260388,4.578610792,0.818729074,37.58
RP01,18.52105263,2.044244538,0.439,9.060096425,42.18918595,4.656593481,0.82037144,37.90874927
RP02,19.71052632,2.125481917,0.446,9.273438724,44.19400519,4.765654522,0.820278289,37.87324291
RP03,19.18421053,2.176427391,0.466,8.814541944,41.16783375,4.670445046,0.818857172,37.88109912
RP04,16.55789474,2.086010648,0.483,7.937588791,34.28135556,4.318862625,0.820016444,37.79895628
MF01,29.01578947,3.525335047,0.703,8.230647325,41.27423823,5.014701347,0.825132422,37.33051746
MF02,26.72631579,3.205893152,0.538,8.33662088,49.67716689,5.958909205,0.823604596,37.60230446
MF03,20.05789474,2.764824674,0.622,7.25467149,32.24741919,4.445055746,0.823770601,37.3257327
MF04,34.92105263,3.966862493,0.71,8.803192118,49.18458117,5.587130272,0.826623499,37.51645214