Plot,latitude,longitude,Forest_type,SOC,N,P,BD,pH,C_N,C_P,N_P
RM01,21.906349,101.269831,RM,13.93157895,1.78309161,1.23,1.525846702,5.346666667,7.813159385,11.32648695,1.449667976
RM02,21.905526,101.270575,RM,15.96315789,1.846429227,1.15,1.465283083,5.22,8.645420935,13.88100686,1.605590632
RM03,21.90423,101.26851,RM,19.04736842,2.166789058,1.18,1.520838638,5.433333333,8.790596551,16.14183764,1.836261914
RM04,21.90463,101.269457,RM,18.14210526,2.003840956,0.749,1.664841694,5.073333333,9.053665267,24.22176938,2.675355081
NR01,21.923738,101.270714,NR,21.02105263,2.437580319,0.531,1.206243103,4.21,8.623737428,39.58766974,4.590546741
NR02,21.923485,101.270348,NR,21.76842105,2.40086286,0.478,1.230307274,4.3,9.066915656,45.54062982,5.022725649
NR03,21.924262,101.269412,NR,18.32105263,2.075454379,0.517,1.383838384,4.443333333,8.82748993,35.43723913,4.014418527
NR04,21.923322,101.269054,NR,18.67894737,2.087846521,0.456,1.428062134,4.476666667,8.946513635,40.96260388,4.578610792
RP01,21.922768,101.268,RP,18.52105263,2.044244538,0.439,1.414502165,4.823333333,9.060096425,42.18918595,4.656593481
RP02,21.92332,101.267932,RP,19.71052632,2.125481917,0.446,1.307147101,4.813333333,9.273438724,44.19400519,4.765654522
RP03,21.923839,101.267795,RP,19.18421053,2.176427391,0.466,1.317927171,4.853333333,8.814541944,41.16783375,4.670445046
RP04,21.923953,101.268272,RP,16.55789474,2.086010648,0.483,1.317927171,4.626666667,7.937588791,34.28135556,4.318862625
MF01,21.91871,101.27282,MF,29.01578947,3.525335047,0.703,1.287454376,5.563333333,8.230647325,41.27423823,5.014701347
MF02,21.91849,101.2738,MF,26.72631579,3.205893152,0.538,1.151769799,5.846666667,8.33662088,49.67716689,5.958909205
MF03,21.91809,101.27505,MF,20.05789474,2.764824674,0.622,1.302669553,5.11,7.25467149,32.24741919,4.445055746
MF04,21.91677,101.27513,MF,34.92105263,3.966862493,0.71,1.324059927,5.81,8.803192118,49.18458117,5.587130272